row_id,hotel,arrival_date_year,arrival_date_month,actual_is_canceled,predicted_cancel_prob
28447,Resort Hotel,2016,October,0,0.2
100097,City Hotel,2016,October,0,0.53
27714,Resort Hotel,2016,September,0,0.76
1243,Resort Hotel,2015,August,0,0.0
30503,Resort Hotel,2016,November,0,0.39
15779,Resort Hotel,2015,July,0,0.02
118413,City Hotel,2017,August,0,0.04
39579,Resort Hotel,2017,August,0,0.35
4480,Resort Hotel,2016,March,1,0.35
32548,Resort Hotel,2017,January,0,0.04
8631,Resort Hotel,2016,October,1,1.0
46391,City Hotel,2015,December,0,0.03
82300,City Hotel,2015,December,0,0.23
67796,City Hotel,2017,May,1,0.99
83698,City Hotel,2016,February,0,0.0
92538,City Hotel,2016,July,0,0.01
16793,Resort Hotel,2015,September,0,0.0
8207,Resort Hotel,2016,September,1,0.65
12814,Resort Hotel,2017,July,1,0.78
78925,City Hotel,2016,July,1,0.75
114879,City Hotel,2017,June,0,0.0
84270,City Hotel,2016,February,0,0.01
51399,City Hotel,2016,May,1,1.0
21460,Resort Hotel,2016,February,0,0.01
9300,Resort Hotel,2016,November,1,0.99
85116,City Hotel,2016,March,0,0.02
86366,City Hotel,2016,March,0,0.06
100998,City Hotel,2016,November,0,0.13
61479,City Hotel,2016,December,1,0.03
93680,City Hotel,2016,July,0,0.71
23298,Resort Hotel,2016,April,0,0.05
94118,City Hotel,2016,July,0,0.0
31225,Resort Hotel,2016,December,0,0.14
77556,City Hotel,2015,September,1,0.89
60234,City Hotel,2016,November,1,1.0
13853,Resort Hotel,2016,April,0,0.0
89108,City Hotel,2016,May,0,0.0
80915,City Hotel,2015,November,0,0.02
85992,City Hotel,2016,March,0,0.04
50640,City Hotel,2016,May,1,1.0
28825,Resort Hotel,2016,October,0,0.0
101918,City Hotel,2016,November,0,0.34
19312,Resort Hotel,2015,December,0,0.05
103199,City Hotel,2016,December,0,0.42
79456,City Hotel,2016,January,1,1.0
9360,Resort Hotel,2016,November,1,0.32
11224,Resort Hotel,2017,April,1,1.0
49768,City Hotel,2016,April,1,1.0
46689,City Hotel,2016,January,1,0.87
66841,City Hotel,2017,April,1,1.0
99125,City Hotel,2016,October,0,0.0
40957,City Hotel,2015,August,0,0.0
8282,Resort Hotel,2016,September,0,0.0
60690,City Hotel,2016,November,1,0.68
70284,City Hotel,2017,June,1,0.42
17183,Resort Hotel,2015,September,0,0.0
90146,City Hotel,2016,June,0,0.12
90677,City Hotel,2016,June,0,0.0
69585,City Hotel,2017,June,1,1.0
104510,City Hotel,2017,January,0,0.1
19793,Resort Hotel,2016,January,0,0.08
71022,City Hotel,2017,June,1,0.8
100837,City Hotel,2016,October,0,0.16
19751,Resort Hotel,2015,December,0,0.0
52014,City Hotel,2016,May,1,0.97
37008,Resort Hotel,2017,June,0,0.01
49526,City Hotel,2016,April,1,1.0
114061,City Hotel,2017,June,0,0.01
113104,City Hotel,2017,May,0,0.325
7195,Resort Hotel,2016,July,1,0.83
8730,Resort Hotel,2016,October,1,0.25807247899159663
20947,Resort Hotel,2016,February,0,0.24
66506,City Hotel,2017,April,1,1.0
12917,Resort Hotel,2017,July,1,0.82
76165,City Hotel,2015,September,1,1.0
47493,City Hotel,2016,February,0,0.33
83286,City Hotel,2016,January,0,0.0005555555555555556
100402,City Hotel,2016,October,0,0.05
105999,City Hotel,2017,February,0,0.0
5391,Resort Hotel,2016,April,1,1.0
20108,Resort Hotel,2016,January,0,0.02
13792,Resort Hotel,2017,August,1,0.17
42504,City Hotel,2015,September,1,0.62
75103,City Hotel,2015,July,1,1.0
87702,City Hotel,2016,April,0,0.1528927203065134
19889,Resort Hotel,2016,January,0,0.34646828463933715
116484,City Hotel,2017,July,0,0.03
52392,City Hotel,2016,June,0,0.19
79259,City Hotel,2016,December,1,1.0
21436,Resort Hotel,2016,February,0,0.15
86912,City Hotel,2016,April,0,0.02
27833,Resort Hotel,2016,September,0,0.7240000000000001
58434,City Hotel,2016,October,1,0.64
78309,City Hotel,2016,March,0,0.19
43203,City Hotel,2015,September,0,0.0
110621,City Hotel,2017,April,0,0.54
98970,City Hotel,2016,October,0,0.08
113159,City Hotel,2017,May,0,0.31
828,Resort Hotel,2015,July,0,0.53
80291,City Hotel,2015,December,1,1.0
68442,City Hotel,2017,May,1,0.4
89632,City Hotel,2016,May,0,0.88
57844,City Hotel,2016,October,1,1.0
77120,City Hotel,2015,September,0,0.0
29463,Resort Hotel,2016,October,0,0.55
11550,Resort Hotel,2017,May,1,0.77
104559,City Hotel,2017,January,0,0.19
64983,City Hotel,2017,March,1,1.0
28735,Resort Hotel,2016,October,0,0.0
69385,City Hotel,2017,May,1,1.0
97923,City Hotel,2016,September,0,0.2
23599,Resort Hotel,2016,April,0,0.2007142857142857
68124,City Hotel,2017,May,1,0.75875
101507,City Hotel,2016,November,0,0.42
61709,City Hotel,2016,December,1,0.69
69193,City Hotel,2017,May,1,0.55
111288,City Hotel,2017,May,0,0.55
57481,City Hotel,2016,September,1,1.0
52248,City Hotel,2016,June,1,1.0
40116,City Hotel,2015,July,1,0.87
39456,Resort Hotel,2017,August,0,0.2
39847,Resort Hotel,2017,August,0,0.12
53866,City Hotel,2016,July,1,0.95
22932,Resort Hotel,2016,April,0,0.415
7536,Resort Hotel,2016,August,1,0.93
47915,City Hotel,2016,March,1,0.0
76216,City Hotel,2015,July,1,1.0
44898,City Hotel,2015,October,1,1.0
108824,City Hotel,2017,March,0,0.21
26722,Resort Hotel,2016,August,0,0.09
115481,City Hotel,2017,July,0,0.04
39000,Resort Hotel,2017,July,0,0.61
16037,Resort Hotel,2015,August,0,0.55
47780,City Hotel,2016,March,1,0.67
68786,City Hotel,2017,May,1,1.0
112353,City Hotel,2017,May,0,0.12
100135,City Hotel,2016,October,0,0.02
107515,City Hotel,2017,March,0,0.68
106072,City Hotel,2017,February,0,0.17
21856,Resort Hotel,2016,March,0,0.0
71650,City Hotel,2017,July,1,1.0
71438,City Hotel,2017,July,1,0.46
81509,City Hotel,2015,December,0,0.0
18028,Resort Hotel,2015,October,0,0.01
93751,City Hotel,2016,July,0,0.18
116190,City Hotel,2017,July,0,0.17
51440,City Hotel,2016,May,1,0.32
93094,City Hotel,2016,July,0,0.02
13777,Resort Hotel,2017,August,1,0.82
62626,City Hotel,2017,January,1,1.0
11849,Resort Hotel,2017,June,1,0.46
74858,City Hotel,2015,July,1,1.0
113777,City Hotel,2017,June,0,0.08
25095,Resort Hotel,2016,June,0,0.7
62633,City Hotel,2017,January,1,1.0
73867,City Hotel,2015,August,1,1.0
40768,City Hotel,2015,August,0,0.14
110582,City Hotel,2017,April,0,0.08
34269,Resort Hotel,2017,March,0,0.0
45998,City Hotel,2015,December,1,1.0
70818,City Hotel,2017,June,1,1.0
50860,City Hotel,2016,May,1,0.73
31407,Resort Hotel,2016,December,0,0.0
60195,City Hotel,2016,November,1,1.0
12306,Resort Hotel,2017,June,1,0.63
8978,Resort Hotel,2016,October,1,1.0
48079,City Hotel,2016,March,1,0.85
3543,Resort Hotel,2015,December,0,0.0
104540,City Hotel,2017,January,0,0.5116666666666667
66422,City Hotel,2017,April,1,0.69
57357,City Hotel,2016,September,1,1.0
23202,Resort Hotel,2016,April,0,0.41
66736,City Hotel,2017,April,1,0.385
53858,City Hotel,2016,July,1,0.88
119101,City Hotel,2017,August,0,0.37
46799,City Hotel,2016,January,1,1.0
77250,City Hotel,2015,September,1,1.0
35588,Resort Hotel,2017,April,0,0.05
90281,City Hotel,2016,June,0,0.11
87709,City Hotel,2016,April,0,0.0
19968,Resort Hotel,2016,January,0,0.01
80026,City Hotel,2015,November,0,0.0
111183,City Hotel,2017,May,0,0.01
94835,City Hotel,2016,August,0,0.12
21966,Resort Hotel,2016,March,0,0.26
43590,City Hotel,2015,September,0,0.1
64396,City Hotel,2017,March,1,0.47666666666666674
45001,City Hotel,2015,October,1,1.0
23806,Resort Hotel,2017,July,0,0.65
99318,City Hotel,2016,October,0,0.16
56152,City Hotel,2016,August,1,0.08
50145,City Hotel,2016,April,1,1.0
99553,City Hotel,2016,October,0,0.01
104191,City Hotel,2017,January,0,0.16
99674,City Hotel,2016,October,0,0.22
38006,Resort Hotel,2017,July,0,0.01
44631,City Hotel,2015,October,0,0.0
9152,Resort Hotel,2016,October,1,0.58
51501,City Hotel,2016,May,1,1.0
34112,Resort Hotel,2017,March,0,0.1
57779,City Hotel,2016,September,1,1.0
54717,City Hotel,2016,July,1,0.405
22071,Resort Hotel,2016,March,0,0.07
11077,Resort Hotel,2017,April,1,0.89
100259,City Hotel,2016,October,0,0.26
63446,City Hotel,2017,February,1,1.0
80216,City Hotel,2015,November,0,0.02
92159,City Hotel,2016,July,0,0.055
83683,City Hotel,2016,February,0,0.09
63149,City Hotel,2017,February,1,1.0
26112,Resort Hotel,2016,July,0,0.01
85309,City Hotel,2016,March,0,0.63
25549,Resort Hotel,2016,June,0,0.4536984126984127
53559,City Hotel,2016,June,1,1.0
37573,Resort Hotel,2017,June,0,0.43
80989,City Hotel,2015,December,1,0.8
109394,City Hotel,2017,April,0,0.0
2786,Resort Hotel,2015,October,0,0.06
105021,City Hotel,2017,January,0,0.04
98170,City Hotel,2016,September,0,0.29
17937,Resort Hotel,2017,January,0,0.22
53017,City Hotel,2016,June,1,1.0
16685,Resort Hotel,2015,September,0,0.02
11987,Resort Hotel,2017,June,1,0.63
81125,City Hotel,2016,March,1,1.0
16114,Resort Hotel,2015,August,0,0.0
115115,City Hotel,2017,June,0,0.42
31319,Resort Hotel,2016,December,0,0.42833333333333334
53809,City Hotel,2016,June,1,1.0
83487,City Hotel,2016,February,1,0.32
77626,City Hotel,2015,September,0,0.0
99109,City Hotel,2016,October,0,0.87
62963,City Hotel,2017,January,1,1.0
61725,City Hotel,2016,December,1,0.54
81220,City Hotel,2015,December,0,0.275
20434,Resort Hotel,2016,January,0,0.04
93727,City Hotel,2016,July,0,0.28
36236,Resort Hotel,2017,May,0,0.16
93455,City Hotel,2016,July,0,0.11
104623,City Hotel,2017,January,0,0.48
91809,City Hotel,2016,June,0,0.0
40809,City Hotel,2015,August,1,0.86
72078,City Hotel,2017,July,1,0.44
48427,City Hotel,2016,March,0,0.17
40058,Resort Hotel,2017,August,0,0.07
31247,Resort Hotel,2016,December,0,0.0
58089,City Hotel,2016,October,1,1.0
82875,City Hotel,2016,February,1,1.0
76333,City Hotel,2015,July,0,0.0
13599,Resort Hotel,2017,August,1,0.63
111631,City Hotel,2017,May,0,0.16
5314,Resort Hotel,2016,April,1,0.43
32222,Resort Hotel,2017,January,0,0.1576451543839672
65415,City Hotel,2017,April,1,1.0
80557,City Hotel,2015,November,0,0.27
21598,Resort Hotel,2016,March,0,0.15
21029,Resort Hotel,2016,February,0,0.07
88669,City Hotel,2016,May,0,0.0
73716,City Hotel,2015,July,1,1.0
101687,City Hotel,2016,November,0,0.0
50816,City Hotel,2016,May,0,0.14
43259,City Hotel,2015,September,0,0.0
551,Resort Hotel,2015,July,1,0.6
118180,City Hotel,2017,August,0,0.07
105247,City Hotel,2017,January,0,0.04
21553,Resort Hotel,2016,March,0,0.01
86929,City Hotel,2016,April,0,0.22
5561,Resort Hotel,2016,May,0,0.0
45723,City Hotel,2015,November,0,0.01
6244,Resort Hotel,2016,May,1,0.73
29465,Resort Hotel,2016,October,0,0.05
16130,Resort Hotel,2015,August,0,0.62
107581,City Hotel,2017,March,0,0.34
118488,City Hotel,2017,August,0,0.01
107181,City Hotel,2017,March,0,0.1
10955,Resort Hotel,2017,April,1,0.77
95603,City Hotel,2016,August,0,0.17
96257,City Hotel,2016,August,0,0.04
38382,Resort Hotel,2017,July,0,0.8
27696,Resort Hotel,2016,August,0,0.02
77440,City Hotel,2015,October,1,1.0
109747,City Hotel,2017,April,0,0.02
85346,City Hotel,2016,March,0,0.0
33139,Resort Hotel,2017,February,0,0.01
42158,City Hotel,2015,September,0,0.06
35237,Resort Hotel,2017,April,0,0.09
37778,Resort Hotel,2017,June,0,0.0
59816,City Hotel,2016,November,1,0.65
15859,Resort Hotel,2015,July,0,0.48
30636,Resort Hotel,2016,November,0,0.16
104744,City Hotel,2017,January,0,0.0
37664,Resort Hotel,2017,June,0,0.18
39278,Resort Hotel,2017,August,0,0.07
2261,Resort Hotel,2015,October,0,0.02
8240,Resort Hotel,2016,September,1,0.76
90055,City Hotel,2016,May,0,0.065
42154,City Hotel,2015,September,0,0.07
115320,City Hotel,2017,July,0,0.0
2647,Resort Hotel,2015,October,1,1.0
47809,City Hotel,2016,March,0,0.04
96128,City Hotel,2016,August,0,0.29
90326,City Hotel,2016,June,0,0.0
12810,Resort Hotel,2017,July,1,0.68
45749,City Hotel,2015,November,0,0.02942441629521091
67708,City Hotel,2017,May,1,0.825
52786,City Hotel,2016,June,1,1.0
6116,Resort Hotel,2016,May,1,0.2803225806451613
76007,City Hotel,2015,September,1,1.0
31885,Resort Hotel,2017,January,0,0.19
98987,City Hotel,2016,October,0,0.0
102776,City Hotel,2016,December,0,0.11
96695,City Hotel,2016,September,0,0.01
15258,Resort Hotel,2016,February,0,0.05
90693,City Hotel,2016,June,0,0.533997668997669
88161,City Hotel,2016,April,0,0.03
28383,Resort Hotel,2016,October,0,0.05
96177,City Hotel,2016,August,0,0.14
93095,City Hotel,2016,July,0,0.26
76307,City Hotel,2015,July,0,0.0
109399,City Hotel,2017,April,0,0.0
14466,Resort Hotel,2016,February,0,0.01
10748,Resort Hotel,2017,March,1,0.05
94562,City Hotel,2016,August,0,0.07
68503,City Hotel,2017,May,1,1.0
49985,City Hotel,2016,April,1,0.8
96508,City Hotel,2016,August,0,0.22
14671,Resort Hotel,2016,April,0,0.0
87435,City Hotel,2016,April,0,0.18
72597,City Hotel,2017,August,1,1.0
87389,City Hotel,2016,April,0,0.2
83893,City Hotel,2016,February,0,0.19
116827,City Hotel,2017,July,0,0.5
96541,City Hotel,2016,September,0,0.38
99511,City Hotel,2016,October,0,0.685
62423,City Hotel,2017,January,1,0.88
48398,City Hotel,2016,March,1,1.0
115833,City Hotel,2017,July,0,0.1
44435,City Hotel,2015,October,1,1.0
68991,City Hotel,2017,May,1,1.0
794,Resort Hotel,2015,July,1,0.82
40644,City Hotel,2015,August,1,0.64
44933,City Hotel,2015,October,1,1.0
15648,Resort Hotel,2015,July,0,0.17
69432,City Hotel,2017,May,1,0.27
109065,City Hotel,2017,April,0,0.0
94989,City Hotel,2016,August,0,0.16
30436,Resort Hotel,2016,November,0,0.19
16740,Resort Hotel,2015,September,0,0.0
88710,City Hotel,2016,May,0,0.08
77371,City Hotel,2015,October,1,1.0
20936,Resort Hotel,2016,February,0,0.11
94703,City Hotel,2016,August,0,0.14
74180,City Hotel,2015,October,1,1.0
40099,City Hotel,2015,July,1,0.73
39911,Resort Hotel,2017,August,0,0.06
62575,City Hotel,2017,January,1,0.22
2613,Resort Hotel,2015,October,1,0.79
56641,City Hotel,2016,September,1,1.0
348,Resort Hotel,2015,July,1,0.71
87541,City Hotel,2016,April,0,0.0
12899,Resort Hotel,2017,July,1,0.96
24812,Resort Hotel,2016,May,0,0.39
4894,Resort Hotel,2016,April,1,1.0
22572,Resort Hotel,2016,March,0,0.01
5208,Resort Hotel,2016,April,0,0.0
85839,City Hotel,2016,March,0,0.07
9861,Resort Hotel,2017,January,1,0.755
97917,City Hotel,2016,September,0,0.0
118450,City Hotel,2017,August,0,0.37
41551,City Hotel,2015,August,0,0.0
90260,City Hotel,2016,June,0,0.0
58935,City Hotel,2016,October,1,0.63
63246,City Hotel,2017,February,1,0.23
105576,City Hotel,2017,February,0,0.0
43315,City Hotel,2015,September,0,0.105537074037074
32346,Resort Hotel,2017,January,0,0.02
53320,City Hotel,2016,June,1,1.0
97732,City Hotel,2016,September,0,0.04364372469635627
62888,City Hotel,2017,January,1,0.06
76520,City Hotel,2015,September,1,1.0
94110,City Hotel,2016,July,0,0.2
65497,City Hotel,2017,April,1,1.0
59338,City Hotel,2016,October,1,1.0
101314,City Hotel,2016,November,0,0.06
26241,Resort Hotel,2016,July,0,0.3
89262,City Hotel,2016,May,0,0.0
77192,City Hotel,2015,September,0,0.07
15793,Resort Hotel,2015,July,0,0.05
115290,City Hotel,2017,July,0,0.91
108716,City Hotel,2017,March,0,0.05
94266,City Hotel,2016,July,0,0.08
73245,City Hotel,2017,August,1,0.53
117878,City Hotel,2017,August,0,0.49
4614,Resort Hotel,2016,March,1,1.0
18261,Resort Hotel,2016,February,1,0.04
23562,Resort Hotel,2016,April,0,0.0
118805,City Hotel,2017,August,0,0.22
32509,Resort Hotel,2017,January,0,0.01
27102,Resort Hotel,2016,August,0,0.06
49650,City Hotel,2016,April,0,0.06
32889,Resort Hotel,2017,February,0,0.0
22877,Resort Hotel,2016,April,0,0.06
71185,City Hotel,2017,June,1,0.18
77830,City Hotel,2016,February,0,0.08
31721,Resort Hotel,2017,January,0,0.28
55622,City Hotel,2016,August,1,1.0
91829,City Hotel,2016,June,0,0.01
89613,City Hotel,2016,June,0,0.0
114688,City Hotel,2017,June,0,0.39
66246,City Hotel,2017,April,1,0.16
42073,City Hotel,2015,August,1,1.0
106514,City Hotel,2017,February,0,0.15
18810,Resort Hotel,2015,November,0,0.1
103847,City Hotel,2017,January,0,0.0
29365,Resort Hotel,2016,October,0,0.1075
113246,City Hotel,2017,June,0,0.27
87904,City Hotel,2016,April,0,0.13
103745,City Hotel,2016,December,0,0.37
15001,Resort Hotel,2015,September,1,1.0
111486,City Hotel,2017,May,0,0.07
88179,City Hotel,2016,April,0,0.43
8164,Resort Hotel,2016,September,0,0.0
117251,City Hotel,2017,July,0,0.44
70945,City Hotel,2017,June,1,0.54
119000,City Hotel,2017,August,0,0.75
10435,Resort Hotel,2017,March,1,0.75
56241,City Hotel,2016,September,1,0.44
110359,City Hotel,2017,April,0,0.01
116680,City Hotel,2017,July,0,0.0
83641,City Hotel,2016,February,0,0.11
31944,Resort Hotel,2017,January,0,0.04
110781,City Hotel,2017,May,0,0.0
27209,Resort Hotel,2016,August,0,0.16
111892,City Hotel,2017,May,0,0.02
109775,City Hotel,2017,April,0,0.08
25251,Resort Hotel,2016,June,0,0.0
59006,City Hotel,2016,October,1,1.0
65534,City Hotel,2017,April,1,1.0
50767,City Hotel,2016,May,0,0.55
28216,Resort Hotel,2016,September,0,0.16
112781,City Hotel,2017,May,0,0.53
113698,City Hotel,2017,June,0,0.01
107562,City Hotel,2017,March,0,0.5
57514,City Hotel,2016,September,0,0.0
26311,Resort Hotel,2016,July,0,0.02
